name,age,street,city,state,zip,lng,lat
Stephanie Drake,18,647 Wanda Squares,East Jordanchester,California,94194,27.880683,-67.625360
Dr. Lisa Griffin,18,8281 Alicia Ways Apt. 272,Johnton,Florida,17425,169.040018,-40.9003765
Justin Smith,18,427 Nichole Common,Martinport,Vermont,48124,-109.503900,-82.1990875
James Matthews,18,9475 Christine Valley Apt. 237,Youngmouth,Connecticut,42371,129.891228,-49.5887715
Lindsey Rice,18,1697 Weaver Lakes Suite 282,Shannonmouth,Maryland,61394,130.633902,-28.3886525
Morgan Bartlett,18,961 Roger Meadows,Fieldsfurt,Ohio,92211,-22.541722,17.2102445
John Thornton,18,024 Mary Well,West Mark,Iowa,53852,-173.636438,-52.7624705
Marcus Daugherty,18,23528 Lee Shoal,Griffithton,Alabama,70600,165.608471,72.755943
Allison Murray,18,394 Mark Well,Ericksonmouth,Texas,34140,97.583827,-28.5128795
Taylor Miller,18,6121 Yates Rue Suite 386,Port Katherine,North Carolina,94944,-174.497238,86.6526235
Andrew Burns,18,67914 Stanley Inlet,Nicoleport,Pennsylvania,71637,-3.004748,-66.238724
Melissa Gilbert,18,047 Charles Locks,West Annashire,South Dakota,96723,85.241776,-0.4646535
Justin King,18,4604 Timothy Station Suite 079,Maciasmouth,Utah,59851,73.871449,86.4434095
Andrew Abbott,18,6029 Williams Squares,Sanderschester,Nevada,45424,-41.336632,19.029010
Troy Cardenas,18,5154 Evans Groves Apt. 234,East Ashley,Illinois,98835,107.871802,21.2812645
Jennifer Williams,18,8986 Sarah Plain Apt. 792,West Matthew,Michigan,31726,66.095961,62.876927
Gregory Cabrera,18,085 Graves Views Apt. 788,Mariamouth,Pennsylvania,31788,-88.079074,-1.907794
Nicole Porter,18,91606 Griffith Ports,Cassandraborough,New York,87780,46.984328,48.7692135
Barbara Reese,18,5402 Johns Ports,Leetown,Florida,33240,-112.386154,37.730976
Michael Lamb,18,56214 Regina Expressway Apt. 869,Mikechester,Illinois,22383,152.064922,-28.946653
William Pierce,18,9342 Daniels Crossing,Jameschester,Ohio,43574,-165.963073,-35.936992
Kelly Burgess,18,19525 Bryan Summit,Kelleyland,Arizona,05855,-119.912360,22.052731
Joseph Smith,18,162 Phillip Stravenue Apt. 015,Andrewfurt,Oregon,19414,132.920850,89.891365
Karina Lewis,18,425 Harris Skyway Suite 741,Colinbury,Texas,98599,-74.705562,-54.650690
Jose Black,18,469 Maria Fort Suite 462,North Kennethbury,Nebraska,26601,-178.026277,-24.618099
Donna Johnson,18,660 Munoz Ways Apt. 873,Jacobland,Nebraska,77737,-9.356068,-58.2330235
Christina Cooley,18,38069 Gomez Causeway,South Daniel,Oklahoma,40646,41.379907,37.178263
Ronald Strickland,18,87691 Brock Estate Suite 827,Suzanneshire,North Carolina,73922,-90.093902,70.5526805
Christopher Hill,18,8331 Robert Court,Wilsonton,Texas,05991,70.178350,31.235731
Gary Gross,18,330 Katie Common,Lake Wesley,Oregon,18551,45.561964,-67.973550
Kristen Turner,18,4351 Emily Manors Suite 041,North Jennifer,Mississippi,11909,-55.440524,-74.413830
Benjamin Ellis,18,527 Adam Plaza Apt. 017,New Michelleview,Oklahoma,18352,166.621479,-65.4180535
Austin Green,18,80830 Baldwin Landing,Leslieport,Arizona,61701,170.803497,68.946804
Kimberly Romero,18,51111 Lee Fords,Rodriguezstad,Texas,60376,152.314393,-63.2699405
Mary Cunningham,18,508 Daniel Canyon,Whitefurt,Alaska,32000,99.051272,-67.047033
Michael Kirk,18,718 White Highway Suite 133,South Nancy,Washington,52897,131.198133,-12.5861735
Shelia Kaiser,18,7513 Howell Cove,North Elizabeth,Iowa,27595,61.580668,-43.299179
Douglas Thompson MD,18,4449 Hooper Cape,Millerburgh,Rhode Island,25847,-30.163690,87.360547
Kristin Reed,18,49895 Nicole Wall,South Richardport,Arizona,61678,92.882378,61.582795
Dalton Fernandez,18,476 Jill Road Apt. 392,Gregoryport,Ohio,15109,106.354683,48.513387
Christina Brown,18,1757 Moreno Brooks,North Pamelafort,Utah,44744,124.848910,-27.1152955
Tracy Williams,18,2555 Carrillo Hollow Suite 794,Hernandezstad,Nevada,44599,-6.962553,35.896513
Lisa Mckenzie,18,365 William Loop Apt. 850,Greerville,Kansas,77890,-90.867303,-42.8162455
Jon Nunez,18,0905 Tina Shore,East Aaronside,Utah,31631,172.331685,-33.0998255
Joseph Steele,18,28265 John Summit,Geoffreyshire,Maryland,39997,-43.977742,38.697132
Steven Beasley,18,0341 Robinson Forest,Port Johnhaven,Idaho,31050,136.610089,-72.614352
Rachel Coleman,18,810 Hunt Roads,South Shannon,Nebraska,71132,109.601905,25.475301
Adam Nunez,18,08581 Ramos Isle Apt. 543,West Kaylaland,South Carolina,46909,165.922132,-4.569815
Christopher Rodriguez,18,825 Antonio Harbor,South Danielleshire,Oklahoma,88446,-35.514295,-38.2278765
Brittany Wheeler,18,4608 Ashley Estate Suite 850,Cohenside,Indiana,22923,74.125913,34.109973
Alexis Savage,18,3955 Nicole Mount Apt. 571,Woodsside,Alabama,23916,-61.298375,-45.474373
Eduardo Simpson,18,2918 Murray Junctions,Williamsfurt,Massachusetts,44367,48.682768,-71.6839085
Kathy Carlson,18,37979 Gail Stravenue,Youngbury,Ohio,29260,173.459818,30.4014045
Alexandra Rodriguez,18,052 Harvey Centers,Lake Kylestad,Wisconsin,71438,25.728820,-59.992615
Steven Shaw,18,134 Smith Underpass,Powellhaven,West Virginia,75701,23.581301,-44.690946
Pamela Bailey,18,339 Kara Skyway,Cardenasville,Pennsylvania,34591,-111.264223,-58.665208
Donna Sandoval,18,62496 Fisher Burgs,Maryside,Indiana,52024,136.408772,51.5991495
Veronica Bradford,18,27716 Devin Rest,Schroederburgh,Montana,18222,157.146434,81.9057635
Jacob Richard,18,6024 Holly Divide Suite 710,North Scottmouth,New Hampshire,24639,-136.134015,18.4670345
Matthew Dickson,18,92005 Fernandez Walks,North Sherrystad,Rhode Island,55876,-120.080152,79.904964
Mallory Porter,18,3196 Michael Locks,Mcgeeberg,Texas,61778,168.740184,24.8956045
Joseph Beck,18,269 Karen Spurs Suite 415,Caroltown,North Dakota,42975,134.835816,63.116981
Maureen Phillips,18,65144 Jill Fords,New Erin,Florida,06939,123.376979,-46.5839555
Katelyn White,18,19940 David Green Apt. 094,East Jason,Wisconsin,08668,-60.875502,56.3136605
William Rios,18,327 Melissa Burgs,North Erik,West Virginia,12551,-76.543898,-73.7236265
Andre Baker,18,694 Jeff Circles,South William,Rhode Island,53173,33.360255,63.200471
Adriana Johnson,18,66325 Bishop Fields,Davidtown,Delaware,75579,-127.538548,6.7645205
Valerie Rodriguez,18,79396 Williams Courts,South Kristen,Virginia,73095,154.214167,55.527310
Stacey Mclean,18,310 Adkins Hills Apt. 841,Morganmouth,New York,37318,145.231977,-55.265596
Jeanette Edwards,18,4593 Pearson Bridge,Garciaton,Tennessee,19237,-172.683282,-40.599605
Ruben Wheeler,18,50777 Ashley Bridge,North Brianberg,Massachusetts,42484,99.798095,-46.0232965
Zachary Wright,18,6938 Nancy Circles,Kellystad,Connecticut,45653,-27.389108,-29.5119995
Nathan Fisher,18,97587 Pennington Walks,Brittanyshire,Maine,12653,-70.395977,40.999521
Regina Khan,18,6953 Gary Viaduct,Port Melissaburgh,Connecticut,25666,-152.773341,50.761910
Samantha Mooney,18,0402 Raymond Roads,Dukeside,New Jersey,69463,-8.954642,-44.910395
Amy Reed,18,0368 Wilkins Overpass,East Stevenhaven,Delaware,87425,9.252182,-48.9772085
David Salinas,18,23478 Gail Manors Apt. 653,Port Monica,Florida,68274,-61.904240,63.413718
Kimberly Sanders,18,963 Jeffrey Unions,West Sean,New Mexico,23797,-48.507532,40.481641
Anna Bradford,18,68672 Perez Oval,Port Tammy,Ohio,50645,-101.975366,-45.334636
Mary Wright,18,6959 Brian Mountain,Irwinmouth,Hawaii,93096,-82.231236,-46.3257205
Joshua Mccarthy DVM,18,548 Pamela Causeway,West Nicholasfort,Georgia,83506,127.885897,-44.2352675
Robert Cross,18,344 Russell Mills,West Douglasmouth,Virginia,86133,-8.855306,-16.0555015
Jason Mendoza,18,767 Terry Motorway,Larrymouth,New York,48506,-84.139762,24.6339575
Jonathan Davidson,18,77126 Espinoza Throughway,South Anthonyborough,Vermont,04957,-78.589849,-78.977403
Nancy Pope,18,831 Villarreal Mountain,Andrewport,Kentucky,02553,156.072525,75.960081
Joy Smith,18,717 Russell Drive Suite 908,Klineborough,California,60595,73.946275,31.465127
Tracie Peterson,18,8695 Julian Point,North Kristenview,Georgia,20882,124.512589,-26.3925975
Courtney Wong,18,577 Jose Plaza,Rodgersstad,Arkansas,20215,-16.604386,-44.1116705
Pamela Fernandez,18,8137 Brewer Cliff Suite 349,Johnsonfort,New Jersey,52077,-36.315534,-73.2279255
Philip Boyd,18,841 Daniel Unions Suite 010,Kennethton,Rhode Island,17640,20.440643,55.2519055
Micheal Herrera,18,4307 James Throughway,Karenstad,Georgia,65411,69.236594,15.0025285
Denise Miles,18,018 Patricia Wall,Joseberg,Nebraska,65663,-131.626967,-3.809212
Angela Hill,18,0395 Henry Manor Apt. 049,Lake Christophermouth,New Jersey,71377,-12.245601,39.784772
Maria Parker,18,364 Patel Haven,East Michaelhaven,Alaska,65235,168.122696,-57.3082035
Jordan Chaney,18,38478 Gregory Ports,Rogersmouth,Tennessee,40582,-91.595939,0.4144375
Kristen Wise,18,996 Elliott Vista Suite 051,Johnshire,Michigan,93715,41.289234,-9.0103885
Jonathan Holmes,18,8110 Young Alley Suite 577,Warnerside,Oregon,39821,70.224147,73.7728655
Natalie Glover,18,63859 Bryant Plains Apt. 501,Derrickland,Maine,92393,-138.231872,-19.7992435
Kelly Miller,18,388 Benson Ferry Suite 470,Emilyburgh,Michigan,86396,150.133102,34.857906
Paul Perez,18,222 Ortiz Parkways,Willisville,Mississippi,01318,125.238950,18.6698365
Beth Moon,18,9979 Gonzalez Stream Suite 766,Andreatown,Washington,02012,-127.650529,76.5035845
Brian Rose,18,7674 Tina Trafficway,Martinmouth,Illinois,87481,149.762260,66.553455
Mr. Eugene Roberson,18,8263 Lisa Tunnel Suite 416,South Cynthiashire,Arizona,39916,50.771091,87.705862
Gregory Cooper,18,4793 Alexandra Stravenue,East Heidichester,Massachusetts,05775,-142.665329,-2.9262425
Monique Jones,18,5878 Brett Row Suite 525,South Stephanie,South Dakota,75358,143.410654,19.1118105
Thomas Charles,18,23280 Yang Spurs Suite 427,New Edwardborough,Wyoming,73979,-22.903996,40.503973
Kayla Jones,18,885 Wells Course,Michaelfort,Alabama,13073,-64.634026,56.5048345
Karen Taylor,18,60063 Hancock Fort,Morenoshire,New Hampshire,75467,-57.619324,68.8374295
Jonathan Brown,18,5842 Mary Heights,South Rachel,Kansas,35760,-106.946644,20.459683
Tammy Johnson,18,449 Coffey Trafficway,Reginaldfurt,Maryland,15114,2.469424,81.832225
Mark Silva,18,937 Jo Fall,Lake Timothyport,Kansas,61501,41.240450,1.7127365
Francisco Coleman,18,02978 Joe Dam,Jeffreyburgh,Minnesota,10706,160.744047,12.2167195
Peter Robinson,18,496 Kevin Light,Port Adamhaven,Utah,80881,-69.556453,84.408789
William Johnson,18,39458 Laurie Points,West Tammybury,New Jersey,25300,164.908717,5.148818
Robert Warren,18,70748 Robert Dam,New Eugeneside,Alabama,74591,146.180466,-31.0877755
Matthew Green,18,34127 Mitchell Shoal Apt. 674,Blackwellchester,Indiana,36232,-141.309515,-86.0122745
Samuel King,18,36108 Leah Overpass Suite 812,East Julieton,Ohio,80965,-94.832114,52.3989955
Joshua Bowen,18,306 Manuel Terrace,New Susanmouth,Maine,39259,-73.113530,-47.029139
Tom Little,18,6858 Laurie Estates Apt. 857,Brianstad,Kentucky,48217,163.377060,-69.609774
Dylan Summers Jr.,18,427 Hunter Courts Apt. 059,Garyfurt,Arizona,43836,-163.986844,41.2156865
Patricia Cohen,18,73662 Gordon Turnpike,Lake Laura,Florida,68891,-22.057911,31.8524655
Andrew Levine,18,3716 Haley Parkway Suite 835,Danielchester,Utah,70954,-167.841416,69.698654
Christopher Fischer,18,3418 Hernandez Center Apt. 333,Hoffmanbury,Pennsylvania,05149,-140.607519,-83.934691
Timothy Lindsey,18,237 Brock Pines,South Sandraport,Indiana,47667,-40.016932,-10.2112985
Kenneth Johnson,18,013 Latasha Haven Apt. 103,Murrayhaven,Tennessee,33779,60.770928,-55.955895
Kristen Murphy,18,236 Christopher Stravenue,Johnburgh,California,32545,-179.713492,48.9586265
Garrett Ruiz,18,25295 Kristin Mission Apt. 201,South Dawn,Illinois,11526,-109.918757,-85.140330
Zachary Graham,18,4158 Gilbert Radial Apt. 063,Prestonshire,Alabama,92568,135.677393,-17.133793
Caleb Smith,18,91402 Johnson Divide,South Audreyfurt,New Hampshire,28123,-17.369023,36.975724
Jeremy Chavez,18,850 Lee Loaf,Cooperbury,Texas,56526,-151.967841,12.9673735
Travis Johnson,18,99867 Ashley Squares,Lindsayport,South Dakota,96703,-64.629711,89.642776
Deborah Andrews,18,230 Michelle Run,Tonyland,New York,50025,151.146393,37.5361735
Ryan Matthews,18,9180 Kristine Junctions,South Davidborough,New Mexico,48649,52.897170,-65.6027755
Andrew Perkins,18,1161 Christian Knolls,New Ryanfurt,Wyoming,55393,92.848718,-5.5007005
Gregory Peterson,18,9793 Scott Light,Andrewbury,North Carolina,02274,-172.687531,-74.850532
Caleb Bennett,18,644 John Courts Apt. 760,Susanbury,New Mexico,63592,-102.792221,82.456426
Regina Smith,18,189 Brooks Ports,Barrstad,Missouri,82740,-150.255518,-8.3264705
Calvin Hayes,18,0641 Sandra Harbors Suite 421,Griffinberg,Illinois,52500,-115.885452,84.2382565
Ronnie Oconnell,18,7692 Christopher Lakes,Charlesmouth,New York,22399,75.001520,-45.3545055
Jason Buchanan,18,55904 Medina Shoal,East Susanton,Ohio,58857,106.222838,-17.7772825
Deborah Perez,18,4090 Vargas Groves,Parkerberg,New Hampshire,51769,-118.455811,55.759365
Deborah Holland,18,300 Sophia Trace,Port Pamela,Delaware,08753,-29.995679,55.706262
Gregory Lee,18,918 Kimberly Canyon Apt. 770,West Brianmouth,Kentucky,84766,-1.112625,-72.2425745
Dennis Powell,18,54898 Maria Vista Suite 346,New Robert,North Carolina,40538,31.011209,67.4831735
Jim Miller,18,740 Bailey Ford Suite 687,Pinedaburgh,West Virginia,57508,-29.525506,1.894744
Christopher Smith,18,17540 Susan Vista Suite 925,West Daniel,North Carolina,55288,152.104883,52.6118955
Jeanette Green,18,03340 Amanda Throughway Suite 159,Rebeccaburgh,New York,17337,8.050606,26.8873065
Lori Conway,18,676 Perez Views Apt. 413,Lake Jamesside,Oregon,84529,13.128936,-32.2326485
Andrew Kelly,18,670 Richard Ridges,Michaelborough,Colorado,35736,-55.858969,41.3936875
Laura Obrien,18,59571 Bobby Dam,West Kelly,Louisiana,77972,-152.145198,36.351032
Zachary Parker,18,231 Smith Port Suite 092,Erintown,Florida,38261,137.599632,15.928324
Angel Garcia,18,461 Mike Crescent Suite 692,Terryview,Arizona,86577,150.326265,16.1530055
Michael Hardy,18,947 Miles Causeway,North Andrea,Washington,55536,-167.481530,-69.470507
Beth Webster,18,3129 Denise Throughway Suite 265,West Heidibury,Maine,21720,-25.612755,86.619306
Jason Lewis,18,76226 Tonya Spring Apt. 782,Howardside,Wisconsin,61779,-145.035519,35.798184
Stephen White,18,9571 Mitchell Views,Port Cheryl,Oklahoma,32435,38.034757,-33.7811885
Mary Colon,18,1239 Reyes Haven,New Amanda,Virginia,05945,56.445315,85.605068
Melanie Long,18,98720 Christopher Inlet,Patriciaside,Illinois,99047,-155.035334,18.138816
Sara Reyes,18,98468 Charles Heights Apt. 730,North Heatherland,Alaska,12046,130.529462,-12.468682
Joseph Hines,18,14912 Julian Locks,Lake Sandra,Virginia,51900,-100.511096,-29.915263
Erin Morgan,18,7629 Sawyer Flat Suite 295,West Charles,Oregon,47848,68.506036,-23.298888
James Thompson,18,08837 Wright Dam Suite 459,Theresatown,Alabama,88853,-99.540918,45.7321495
Dr. John Holmes,18,6985 Douglas Unions,Brandontown,New York,41156,73.056435,61.060347
Herbert Phillips,18,78754 Ryan Plaza,Amandaland,Massachusetts,83458,16.945090,5.002631
Jacob Galloway,18,1498 Beasley Islands,Lake Rodneyport,New York,71960,-50.999700,-44.3789915
Jeffrey Petersen,18,9816 Franklin Well Suite 088,Scotthaven,North Carolina,22140,19.799483,-54.4889115
Andrew Jones,18,297 Jimmy Radial,Luischester,South Dakota,00913,7.526069,-52.272883
Cheryl Williams,18,675 Daniels Stravenue,New Donnaville,Tennessee,28119,61.037598,-46.929261
Tyler Nelson,18,087 Joseph Square Apt. 514,Russellburgh,Texas,12358,-106.300636,83.1742335
Melanie Hayes,18,828 Sarah Meadows Apt. 831,South Scott,Alaska,77059,10.850342,40.5280765
Patricia Scott,18,07003 Sanchez Run,Debraborough,North Dakota,52469,-37.292362,-84.073780
Anne King,18,6986 Kelly Highway Suite 489,South Deborah,New Hampshire,55737,177.425371,18.9290555
Emily Smith,18,143 Gonzales Crest,Port Patricia,Colorado,26320,-84.561260,-59.7348645
Natalie Lopez,18,817 John Lodge,Jamesbury,Arizona,61376,173.725728,15.666157
Joshua Castaneda,18,95718 Mary Freeway,Joneshaven,New York,12288,-8.108363,-74.6838595
John Russell,18,0606 Charles Station,Port Julie,Montana,18035,-164.126735,67.052990
Kevin Hill,18,452 Thomas Summit,East Stephenhaven,Oregon,96227,120.318714,33.6579195
Frederick Taylor,18,9694 Barbara Station Apt. 827,Johnsonport,Oregon,58920,-8.193860,43.9911325
Tracy Thompson,18,94365 Stevenson Highway Suite 414,Webbborough,Alaska,68641,-129.940179,22.534535
Fernando White,18,57061 Teresa Haven,Marytown,Illinois,85573,-132.034100,30.447512
Brittany Fowler,18,83930 Matthew Haven Suite 691,Youngport,Nevada,65693,-20.709962,25.4949615
Edwin Humphrey,18,29394 Stephanie Tunnel,Maldonadostad,Rhode Island,45609,-2.588617,76.201831
Ricky Ferguson,18,561 Taylor Loop Apt. 704,New Scott,Massachusetts,02625,82.369974,57.259037
Natasha Diaz,18,4797 Raymond Dale Suite 915,West Melissamouth,New Mexico,69211,-139.213273,0.2131905
James Mcmillan,18,996 Michael Expressway Apt. 231,Williamton,Ohio,47511,-63.491256,23.605791
Ronald Vargas,18,710 Gerald Radial,Loganfurt,Arizona,94941,67.259756,-54.3137395
Lacey Medina,18,2931 Krista Groves,Port Michaelmouth,Oregon,89861,88.587773,70.2153215
Audrey Vaughn,18,972 Lisa Mission Suite 345,Tracymouth,New York,13984,36.025149,22.431153
Richard Ponce,18,649 Jones Extension,Baileyshire,Texas,58756,82.527439,41.187132
Hailey Bishop,18,646 Harvey Creek,Bullockchester,California,88285,152.815427,-75.779732
Katrina Luna,18,79028 Douglas Freeway Suite 310,Robertohaven,Pennsylvania,65496,-124.519651,-59.0960775
Nathan Sims,18,8449 Brenda Well Apt. 055,West Michelle,Kentucky,60290,-68.336528,-39.798605
Adriana Cooper,18,756 Hannah Shoal Suite 327,Loganton,Massachusetts,74978,-128.217873,3.2882635
Tracy Scott,18,617 David Dam,West Josephberg,Connecticut,65227,-52.925264,43.1133125
Christopher Robinson,18,648 Flores Garden,Johnnychester,Maine,25911,-60.143683,78.347203
Emily Martinez,18,540 Brenda Gardens Suite 434,South Megan,Arizona,32882,-31.670764,-17.186443
Michael Harvey,18,26436 John Parks,Cameronmouth,Connecticut,13894,-141.446128,57.717618
Mark Young,18,5532 Rose Manors,North Juan,Virginia,91750,-17.031020,-87.072902
Ian Sanchez,18,4059 Tyler Valleys Suite 469,Turnerburgh,Nevada,63763,-92.517142,71.594897
Monica Jackson,18,759 Christine Hollow Suite 656,West Billyfurt,Oregon,88800,-170.517224,-64.523165
Richard Daniel,18,878 Baker Village,Rachelfurt,New Jersey,24657,-91.632565,1.759421
Amanda Wilson,18,46087 Pena Pass,Walkerstad,Nebraska,36651,-152.997000,13.605142
Danny Murray,18,20196 Scott Neck Suite 938,New Robertberg,Minnesota,35293,115.739545,47.522776
Tina Summers,18,93902 Kim Track,New Melanie,Nevada,13025,-71.785946,1.2907985
Amanda Roman,18,612 Spence Light Suite 996,Shawnborough,Nevada,31289,-91.393724,49.8407685
Regina Brady,18,078 Garner Meadow,Smithview,North Dakota,99858,85.175701,-52.435427
James Diaz,18,9493 Arias Street Suite 948,North Morgan,Kentucky,04296,160.667052,-16.0915365
Danny Hall,18,6816 Kim Islands Apt. 776,Christophershire,South Carolina,73651,40.770196,76.7375975
Catherine Cervantes,18,40863 Jerry Course,Lake Christopherville,Utah,84248,67.078052,-12.194347
Erin Carter,18,761 Frost Parks Suite 691,Port Michellebury,Wyoming,35636,95.528694,-20.298194
Brittney Preston,18,114 Mathew Heights Apt. 839,Waltersburgh,New York,36802,-39.224962,21.625922
Ricky Kerr,18,77681 Heather Lane Suite 715,Sellersfort,South Dakota,55008,38.255563,-73.256041
Jennifer Austin,18,0344 Adam Harbors,Veronicamouth,Utah,03520,51.685060,34.861788
Abigail Hayes,18,8392 Hicks Union Suite 755,East Jesseborough,California,11086,-123.088177,26.9575985
Mario Walker,18,9874 Brad Landing Apt. 746,North Carolshire,Rhode Island,71055,-20.334628,-87.349360
Austin Perez,18,460 Elizabeth Port Suite 457,East Mindyborough,Oregon,49009,-152.813120,-45.364017
Meghan Walker,18,13145 Chloe Park Apt. 194,New Jamesfurt,Arkansas,50142,66.608145,-88.486110
Jessica Bowman,18,778 Morris Mill,Port Erin,Montana,32592,28.652960,-77.309753
Heather Johnson,18,50392 Estrada Isle Suite 333,Patrickhaven,North Carolina,41634,49.347292,62.1979485
Nicole Rogers,18,3362 Hall Roads,South Caitlinfort,South Carolina,97520,-18.978611,-87.6702665
Mary Patton,18,806 Tristan Mount,North Brendaview,South Dakota,41792,51.111635,12.2522755
Jerry Garcia,18,285 Thomas Place,Johnmouth,Oklahoma,07126,-88.049235,25.076277
Kathleen Price,18,8532 Jones Mews Suite 797,South Karen,Massachusetts,37132,-138.650413,9.439851
Danny Walls,18,8342 Sarah Tunnel,Heiditon,Iowa,91607,64.261681,-8.100559
Lisa Rodriguez,18,95146 Williams Mountains,Lowemouth,Nebraska,34416,-174.002548,-15.502902
Denise Rodriguez,18,780 Pierce Pine,Port Dylan,Kentucky,60144,120.364332,4.4256955
Rachel Clark,18,7042 Sarah Radial,South Andrew,Washington,76937,70.571012,50.058565
Lori Simpson,18,963 Scott Underpass,East Michelle,Vermont,01847,-139.320093,47.2376995
Devin Wright,18,761 Bryant Branch Apt. 785,Melendezfort,Nevada,07950,-129.601514,-74.437135
Melissa Gallagher,18,78833 Amanda Drive,South Wendyborough,Arizona,54996,-9.832991,-25.967929
Heather Higgins,18,30994 Sanchez Port Suite 467,North Joshua,Florida,82834,-71.982361,-24.6914465
Stephanie Mclaughlin,18,61431 Joseph Lake Suite 838,West Cindy,Massachusetts,92795,165.616096,-25.763561
Frances Johnson,18,172 Michael Crescent Apt. 513,New Paulachester,Michigan,75766,55.676063,29.8201235
Susan Lopez,18,37975 Calderon Forks Apt. 930,South Kayla,Idaho,89706,-78.318434,-41.9521855
Jenny Mendoza,18,37941 Jordan Avenue,Port Patrick,Nevada,06540,170.784773,-29.0721695
Jessica Phillips,18,74690 Jennifer Lodge Suite 321,South Bridget,New York,37227,91.192848,-57.1271635
Ricardo Mcintosh,18,68703 Patterson Summit,Williamsland,Maryland,54022,76.699454,-47.565021
Steven Lowe,18,70506 Jackson Green Suite 671,Michaelton,Nevada,79534,43.311519,-7.057896
Bethany Smith,18,35516 Cunningham Valley Apt. 416,South Gabriel,Connecticut,40703,8.404584,-56.004836
Cindy Gibson,18,794 Chelsea Roads,Lake Catherine,New Hampshire,02791,112.719494,-35.4685755
Miranda Cooper,18,55701 Erin Greens,East Veronicaport,Tennessee,98191,-176.775891,48.176620
Ivan Austin,18,75726 Schneider Center Suite 020,Lake Jared,Montana,32679,82.550121,-42.3082145
Samantha Rice,18,6995 Bradley Harbors,Oneillshire,Iowa,26589,-109.612043,-83.953902
Aaron Harris,18,09926 Keith Parkways,Paulland,Minnesota,81822,118.719975,-42.595890
Samantha Smith,18,2921 Cynthia Mount Suite 100,Lake Gabrielle,Washington,61077,25.538965,-48.080451
Debbie Jones,18,09508 Perez Views,Deborahview,Georgia,07942,107.735752,48.2516825
Ashley Hall,18,109 Parks Pines,Christopherside,Montana,42184,-160.369466,-27.5230235
Gina Murphy,18,89921 Courtney Junctions Apt. 968,Ianfort,Maryland,20499,-12.911961,-70.278916
Bailey Howard,18,15833 Ryan Dam,Joycemouth,Virginia,29769,67.304657,26.635331
Kristen Craig,18,30449 Kristen Forges Apt. 669,Parrishborough,Alaska,57767,-127.667646,-19.7682215
James Cox,18,0196 Heather Lakes Apt. 568,Mackenzieview,Pennsylvania,13855,19.670800,50.5907535
Steven Jackson,18,863 Smith Oval,Bradleychester,Montana,26666,2.561731,-8.9677615
Emily Ortiz,18,8735 Cameron Road,Port Kylie,North Dakota,33041,34.446909,44.483399
Angela Schmidt,18,56678 Joseph Greens Suite 250,Ericaburgh,West Virginia,44699,17.987892,-51.017492
Andrew Conner,18,384 Terrance Locks,Lake Johnport,Washington,09921,122.054322,72.6289235
Jeffrey Brown,18,80622 Hernandez Dam,West Rebekahfort,Missouri,34989,74.646354,-81.556395
Kimberly Woodward,18,4114 Melissa Estate Apt. 417,Burkeland,Nevada,30904,6.048536,83.529925
Stephanie Rodriguez,18,75973 Simon Way Suite 897,Gavinbury,Arizona,38748,-124.320675,0.364860
Lance Ross,18,1801 Stone Tunnel,Brianashire,Nebraska,32581,-36.785219,-69.5470995
Dr. Charles Carter Jr.,18,096 Hannah Trail,Port Amanda,Nebraska,43332,103.632029,27.815787
John Park,18,803 Thompson Hill,Garciafort,Georgia,54614,-123.704963,72.266331
John Green,18,54106 Joseph Park Suite 661,Jessicamouth,Ohio,55131,128.716183,-84.951628
David Gamble,18,68013 Paul Meadows,West Stacy,Washington,51581,75.685408,2.5468945
Christopher Cline,18,2167 Eric Parks,East Jeffrey,Kentucky,15833,117.161265,52.1878475
Kimberly Carpenter,18,3471 Bryan Mission,Ianborough,Mississippi,08022,-69.418684,-6.6293435
Shawn Miles,18,534 Sean Harbors,Port Kristen,West Virginia,74882,20.965461,62.774208
Timothy Stewart,18,960 Erika Drive Suite 387,Elijahstad,Montana,21504,151.476730,-51.3651085
Michael Ruiz,18,41687 Miles Mall,New Brianchester,New York,90184,-104.920525,-4.2574495
Ashley Garrison,18,05265 Holden Canyon,Galvanton,Arizona,88790,71.289817,-53.836551
Theodore Baker,18,892 Jones Radial,Jonesfort,Michigan,60371,-32.909726,-28.1260985
Andrew Joseph,18,2040 Arthur Inlet Apt. 785,Graymouth,Vermont,02509,-20.746221,51.6462355
Aaron Nash,18,85455 Alexander Estates Suite 470,East Thomasburgh,Virginia,38509,177.531326,-28.840494
Hannah Mays,18,65540 Ford Via Suite 505,Yvetteton,Tennessee,67800,32.170201,36.1152595
Monica Calderon,18,90699 Whitney View Apt. 630,Coxstad,Indiana,80958,85.861291,-69.500205
James Harris,18,860 Ann Springs,Nguyenview,North Carolina,73881,-96.653913,85.0294805
James Chase,18,727 Ramirez Trace,Berryshire,Texas,18479,11.669001,21.6710645
Kendra Fleming,18,06070 Thomas Passage,Paulaton,Nebraska,68441,-78.732728,77.4855905
Scott West,18,464 Shannon Center Apt. 467,New Melanieland,South Carolina,77160,76.204812,-33.3114445
Robin Kemp,18,4229 Rivera Island,Port William,California,75500,110.996168,29.7514085
Brian Colon,18,034 Miller Tunnel Suite 533,South George,Delaware,37899,-71.093369,19.6033945
Brian Mcdonald,18,931 Elizabeth Gardens,New Dana,Connecticut,70868,152.692583,-13.5127475
